delegate,crp-id,type,state,party,donations,sum,memberships
"Markey, Ed",N00000270,Senator,MA,D,6,47500,17
"Hagan, Kay R",N00029617,Senator,NC,D,8,32000,0
"Toomey, Pat",N00001489,Senator,PA,R,9,30350,9
"Cornyn, John",N00024852,Senator,TX,R,8,30000,9
"Upton, Fred",N00004133,Representative,MI,R,6,29500,7
"Warner, Mark",N00002097,Senator,VA,D,9,28600,11
"Pryor, Mark",N00013823,Senator,AR,D,7,28500,0
"Alexander, Lamar",N00009888,Senator,TN,R,7,25500,16
"Coons, Chris",N00031820,Senator,DE,D,7,24000,17
"Wyden, Ron",N00007724,Senator,OR,D,7,24000,14
"Frelinghuysen, Rodney",N00000684,Representative,NJ,R,5,23500,4
"Pallone, Frank Jr",N00000781,Representative,NJ,D,6,22500,0
"Reed, Jack",N00000362,Senator,RI,D,6,22500,19
"Gerlach, Jim",N00025025,Representative,PA,R,8,22000,0
"Pitts, Joe",N00001633,Representative,PA,R,4,21500,5
"Cochran, Thad",N00003328,Senator,MS,R,6,21300,18
"McConnell, Mitch",N00003389,Senator,KY,R,6,21000,13
"Portman, Rob",N00003682,Senator,OH,R,5,20500,12
"Capito, Shelley Moore",N00009771,Senator,WV,R,3,20000,16
"Whitfield, Ed",N00003467,Representative,KY,R,5,20000,4
"Matsui, Doris O",N00027459,Representative,CA,D,4,19500,3
"McCarthy, Kevin",N00028152,Representative,CA,R,7,19000,0
"Blackburn, Marsha",N00003105,Representative,TN,R,5,18500,6
"Shuster, Bill",N00013770,Representative,PA,R,5,18500,9
"Dent, Charlie",N00026171,Representative,PA,R,4,18300,0
"Stivers, Steve",N00029574,Representative,OH,R,4,18100,5
"Roskam, Peter",N00004719,Representative,IL,R,8,18000,4
"Murphy, Tim",N00024992,Representative,PA,R,5,18000,4
"Lance, Leonard",N00000898,Representative,NJ,R,4,18000,4
"Udall, Mark",N00008051,Senator,CO,D,6,18000,0
"Cantor, Eric",N00035267,Representative,VA,R,5,17500,0
"Boehner, John",N00003675,Representative,OH,R,3,17500,0
"Booker, Cory",N00035267,Senator,NJ,D,6,17000,14
"Begich, Mark",N00029901,Senator,AK,D,6,16500,0
"Ellmers, Renee",N00031513,Representative,NC,R,6,16500,4
"Schumer, Charles E",N00001093,Senator,NY,D,3,16500,17
"Roberts, Pat",N00005285,Senator,KS,R,7,16200,18
